date,avg_temp_max_celsius,avg_temp_min_celsius,avg_temp_mean_celsius,avg_temp_range_celsius,total_precipitation_mm,avg_precipitation_mm,max_wind_speed_kmh,avg_wind_speed_kmh,rainy_city_count,hot_city_count,cold_city_count,day_of_week,is_weekend,month,season,temp_extreme_flag,temp_deviation_from_18,comfort_gap_celsius,wet_day_flag
2025-04-01,2.1333333333333333,-3.8333333333333335,-0.8500000000000001,5.966666666666666,0.0,0.0,19.2,18.0,0,0,3,Tuesday,0,4,Spring,1,18.85,-18.85,0
2025-04-02,2.733333333333333,-2.733333333333334,0.0,5.466666666666668,30.2,10.066666666666666,34.1,32.800000000000004,3,0,3,Wednesday,0,4,Spring,1,18.0,-18.0,1
2025-04-03,18.366666666666664,2.966666666666667,10.666666666666666,15.399999999999999,36.2,12.066666666666668,32.0,30.233333333333334,3,0,0,Thursday,0,4,Spring,0,7.333333333333334,-7.333333333333334,1
2025-04-04,9.566666666666668,-0.4333333333333333,4.566666666666667,10.0,0.0,0.0,19.9,14.899999999999999,0,0,2,Friday,0,4,Spring,1,13.433333333333334,-13.433333333333334,0
2025-04-05,10.700000000000001,3.3333333333333335,7.016666666666667,7.366666666666667,19.7,6.566666666666666,24.6,23.46666666666667,3,0,0,Saturday,1,4,Spring,0,10.983333333333334,-10.983333333333334,1
2025-04-06,4.7,-0.46666666666666673,2.1166666666666667,5.166666666666667,0.0,0.0,26.1,23.066666666666666,0,0,2,Sunday,1,4,Spring,1,15.883333333333333,-15.883333333333333,0
2025-04-07,6.2,-3.3666666666666667,1.4166666666666667,9.566666666666666,2.6,0.8666666666666667,40.9,34.63333333333333,3,0,3,Monday,0,4,Spring,1,16.583333333333332,-16.583333333333332,1
2025-04-08,-3.0666666666666664,-7.1000000000000005,-5.083333333333333,4.033333333333334,3.1,1.0333333333333334,39.7,36.46666666666667,2,0,3,Tuesday,0,4,Spring,1,23.083333333333332,-23.083333333333332,1
2025-04-09,3.5666666666666664,-6.066666666666666,-1.2500000000000002,9.633333333333333,0.0,0.0,17.0,15.799999999999999,0,0,3,Wednesday,0,4,Spring,1,19.25,-19.25,0
2025-04-10,3.6666666666666665,-2.3333333333333335,0.6666666666666666,6.0,7.4,2.466666666666667,23.8,19.733333333333334,3,0,3,Thursday,0,4,Spring,1,17.333333333333332,-17.333333333333332,1
2025-04-11,5.0,0.6333333333333334,2.8166666666666664,4.366666666666666,3.1,1.0333333333333334,17.3,15.133333333333335,3,0,1,Friday,0,4,Spring,0,15.183333333333334,-15.183333333333334,1
