date,avg_temp_max_celsius,avg_temp_min_celsius,avg_temp_mean_celsius,avg_temp_range_celsius,total_precipitation_mm,avg_precipitation_mm,max_wind_speed_kmh,avg_wind_speed_kmh,rainy_city_count,hot_city_count,cold_city_count,day_of_week,is_weekend,month,season,temp_extreme_flag,temp_deviation_from_18,comfort_gap_celsius,wet_day_flag,ontario_demand_avg_mw,ontario_demand_peak_mw,ontario_demand_min_mw,ontario_demand_std_mw,market_demand_avg_mw,ontario_peak_hour,demand_range_mw,high_demand_day,demand_change_mw,demand_direction
2025-05-07,18.599999999999998,9.133333333333333,13.866666666666667,9.466666666666667,0.8,0.26666666666666666,22.5,21.433333333333334,2,0,0,Wednesday,0,5,Spring,0,4.133333333333333,-4.133333333333333,1,14596.0,16311,12273,1336.1543454192,17914.5,20,4038,0,49.0,Up
2025-05-08,11.166666666666666,5.2,8.183333333333334,5.966666666666668,0.2,0.06666666666666667,19.5,17.8,2,0,0,Thursday,0,5,Spring,0,9.816666666666666,-9.816666666666666,1,14565.291666666666,16107,12339,1170.0880486812375,17835.541666666668,20,3768,0,-204.0,Down
2025-05-09,14.1,3.966666666666667,9.033333333333333,10.133333333333333,0.0,0.0,18.4,15.399999999999999,0,0,0,Friday,0,5,Spring,0,8.966666666666667,-8.966666666666667,0,14418.125,15901,13041,899.1014022465645,18097.541666666668,20,2860,0,-206.0,Down
2025-05-10,19.733333333333334,5.533333333333334,12.633333333333333,14.199999999999998,0.0,0.0,22.6,21.033333333333335,0,0,0,Saturday,1,5,Spring,0,5.366666666666667,-5.366666666666667,0,13366.708333333334,14623,12366,690.0109311778525,17369.375,21,2257,0,-1278.0,Down
2025-05-11,13.6,3.9,8.75,9.700000000000001,0.0,0.0,20.6,18.5,0,0,0,Sunday,1,5,Spring,0,9.25,-9.25,0,13061.833333333334,15090,11699,1010.5361326357016,16941.5,21,3391,0,467.0,Up
2025-05-12,23.7,5.933333333333334,14.816666666666668,17.766666666666666,0.0,0.0,12.1,10.799999999999999,0,1,0,Monday,0,5,Spring,0,3.183333333333332,-3.183333333333332,0,14644.0,16866,12026,1535.1626737198274,17853.25,19,4840,0,1776.0,Up
2025-05-13,22.900000000000002,11.700000000000001,17.3,11.200000000000001,7.9,2.6333333333333333,25.2,20.133333333333333,3,1,0,Tuesday,0,5,Spring,0,0.6999999999999993,-0.6999999999999993,1,14836.708333333334,16839,12311,1482.6439509015406,18710.541666666668,20,4528,0,-27.0,Down
2025-05-14,19.166666666666668,12.799999999999999,15.983333333333334,6.366666666666667,4.0,1.3333333333333333,25.0,22.03333333333333,3,0,0,Wednesday,0,5,Spring,0,2.0166666666666657,-2.0166666666666657,1,15102.375,16902,12580,1523.477595403245,18954.625,17,4322,0,63.0,Up
2025-05-15,22.366666666666664,12.4,17.383333333333333,9.966666666666667,1.0,0.3333333333333333,14.8,13.0,1,1,0,Thursday,0,5,Spring,0,0.6166666666666671,-0.6166666666666671,1,15478.166666666666,17674,12679,1699.7092504990032,19055.666666666668,19,4995,0,772.0,Up
2025-05-16,27.2,12.766666666666666,19.983333333333334,14.433333333333335,9.799999999999999,3.266666666666666,19.2,15.4,3,3,0,Friday,0,5,Spring,1,1.9833333333333343,1.9833333333333343,1,15779.333333333334,18153,12896,1778.0501696513245,18988.666666666668,19,5257,0,479.0,Up
2025-05-17,19.566666666666666,12.433333333333332,16.0,7.133333333333334,47.8,15.933333333333332,25.2,23.5,3,0,0,Saturday,1,5,Spring,0,2.0,-2.0,1,14069.625,15272,12423,1063.2806007209792,17617.958333333332,17,2849,0,-2881.0,Down
2025-05-18,14.033333333333333,8.966666666666667,11.5,5.066666666666666,0.9,0.3,30.3,26.46666666666667,1,0,0,Sunday,1,5,Spring,0,6.5,-6.5,1,13391.666666666666,14717,11635,1071.5430834596168,16781.25,19,3082,0,-555.0,Down
2025-05-19,13.166666666666666,6.0,9.583333333333332,7.166666666666667,0.8,0.26666666666666666,21.3,19.366666666666667,2,0,0,Monday,0,5,Spring,0,8.416666666666668,-8.416666666666668,1,13171.916666666666,15267,11839,1038.287256753271,16677.791666666668,21,3428,0,550.0,Up
2025-05-20,14.4,3.6999999999999997,9.049999999999999,10.700000000000001,0.0,0.0,16.7,15.566666666666668,0,0,0,Tuesday,0,5,Spring,0,8.950000000000001,-8.950000000000001,0,14161.75,15707,11900,1197.1718575550203,17765.0,21,3807,0,440.0,Up
2025-05-21,12.1,7.766666666666667,9.933333333333334,4.333333333333333,41.0,13.666666666666666,32.8,29.933333333333334,3,0,0,Wednesday,0,5,Spring,0,8.066666666666666,-8.066666666666666,1,14887.708333333334,16768,12062,1598.8068507529283,17854.083333333332,20,4706,0,1061.0,Up
2025-05-22,10.233333333333333,7.5,8.866666666666667,2.733333333333333,102.3,34.1,31.5,28.433333333333334,3,0,0,Thursday,0,5,Spring,0,9.133333333333333,-9.133333333333333,1,15236.166666666666,16630,12682,1435.296081155282,17506.958333333332,20,3948,0,-138.0,Down
2025-05-23,10.200000000000001,7.333333333333333,8.766666666666666,2.8666666666666667,15.700000000000001,5.233333333333333,21.5,21.166666666666668,3,0,0,Friday,0,5,Spring,0,9.233333333333334,-9.233333333333334,1,14917.333333333334,16188,12849,1176.7622000057272,17928.291666666668,20,3339,0,-442.0,Down
2025-05-24,12.9,7.466666666666666,10.183333333333334,5.433333333333333,3.7,1.2333333333333334,25.1,23.566666666666666,3,0,0,Saturday,1,5,Spring,0,7.816666666666666,-7.816666666666666,1,13935.791666666666,14980,12593,835.5290944985844,17123.5,19,2387,0,-1208.0,Down
2025-05-25,14.9,6.7,10.799999999999999,8.200000000000001,9.7,3.233333333333333,21.2,17.966666666666665,3,0,0,Sunday,1,5,Spring,0,7.200000000000001,-7.200000000000001,1,13531.666666666666,15234,12131,972.5703133926884,16333.5,21,3103,0,254.0,Up
2025-05-26,19.333333333333332,8.0,13.666666666666666,11.333333333333334,0.30000000000000004,0.10000000000000002,18.4,15.066666666666668,2,0,0,Monday,0,5,Spring,0,4.333333333333334,-4.333333333333334,1,14521.583333333334,16252,12368,1281.946241722587,16069.625,20,3884,0,1018.0,Up
2025-05-27,20.46666666666667,9.166666666666666,14.816666666666668,11.299999999999999,0.0,0.0,12.2,10.9,0,0,0,Tuesday,0,5,Spring,0,3.183333333333332,-3.183333333333332,0,14592.75,16398,12287,1400.7251926118088,16852.416666666668,20,4111,0,146.0,Up
2025-05-28,17.266666666666666,9.633333333333333,13.450000000000001,7.633333333333333,17.1,5.7,23.8,20.233333333333334,3,0,0,Wednesday,0,5,Spring,0,4.549999999999999,-4.549999999999999,1,14707.666666666666,16660,12001,1527.5333246679152,17219.666666666668,20,4659,0,262.0,Up
2025-05-29,18.0,10.633333333333333,14.316666666666668,7.366666666666667,25.2,8.4,15.7,14.5,3,0,0,Thursday,0,5,Spring,0,3.683333333333332,-3.683333333333332,1,14893.708333333334,16301,12647,1331.3609734653733,17317.708333333332,20,3654,0,-359.0,Down
2025-05-30,22.0,10.5,16.25,11.5,4.6000000000000005,1.5333333333333334,17.7,16.3,3,0,0,Friday,0,5,Spring,0,1.75,-1.75,1,14641.708333333334,16455,12134,1398.294255253651,16915.75,17,4321,0,154.0,Up
2025-05-31,12.299999999999999,8.299999999999999,10.299999999999999,4.0,1.5999999999999999,0.5333333333333333,31.6,29.566666666666666,3,0,0,Saturday,1,5,Spring,0,7.700000000000001,-7.700000000000001,1,13264.125,14462,11600,965.706783859005,16684.208333333332,20,2862,0,-1993.0,Down
2025-06-01,14.166666666666666,7.033333333333334,10.6,7.133333333333333,0.4,0.13333333333333333,25.4,24.766666666666666,2,0,0,Sunday,1,6,Summer,0,7.4,-7.4,1,13094.916666666666,15134,11536,1139.4744752341524,15841.583333333334,21,3598,0,672.0,Up
2025-06-02,21.233333333333334,6.533333333333334,13.883333333333333,14.700000000000001,0.0,0.0,16.3,13.799999999999999,0,0,0,Monday,0,6,Summer,0,4.116666666666667,-4.116666666666667,0,14210.75,16226,12029,1341.748089166745,16789.375,19,4197,0,1092.0,Up
2025-06-03,25.366666666666664,11.966666666666667,18.666666666666668,13.4,0.0,0.0,22.0,20.466666666666665,0,1,0,Tuesday,0,6,Summer,1,0.6666666666666679,0.6666666666666679,0,14773.041666666666,17267,11768,1837.690835500916,18092.33333333333,18,5499,0,1041.0,Up
2025-06-04,28.433333333333334,16.0,22.21666666666667,12.433333333333332,2.5,0.8333333333333334,26.0,23.96666666666667,3,3,0,Wednesday,0,6,Summer,1,4.216666666666669,4.216666666666669,1,16381.666666666666,19910,12238,2583.5853023449317,19085.58333333333,17,7672,0,2643.0,Up
2025-06-05,21.2,13.866666666666667,17.533333333333335,7.333333333333333,48.0,16.0,16.6,13.633333333333335,3,0,0,Thursday,0,6,Summer,0,0.466666666666665,-0.466666666666665,1,15841.25,17465,13334,1438.5682269111403,18121.20833333333,18,4131,0,-2445.0,Down
2025-06-06,22.53333333333333,13.299999999999999,17.916666666666668,9.233333333333333,0.30000000000000004,0.10000000000000002,15.4,14.333333333333334,2,0,0,Friday,0,6,Summer,0,0.08333333333333215,-0.08333333333333215,1,15527.791666666666,17743,12466,1814.758625204361,18404.041666666668,17,5277,0,278.0,Up
2025-06-07,24.066666666666666,14.433333333333332,19.25,9.633333333333333,1.1,0.3666666666666667,19.2,17.133333333333333,2,0,0,Saturday,1,6,Summer,0,1.25,1.25,1,14613.25,17240,12155,1702.5299652601395,17212.583333333332,18,5085,0,-503.0,Down
2025-06-08,21.099999999999998,12.933333333333332,17.016666666666666,8.166666666666666,1.0,0.3333333333333333,19.8,17.0,2,0,0,Sunday,1,6,Summer,0,0.9833333333333343,-0.9833333333333343,1,14002.708333333334,16628,11568,1715.9753844177185,16778.875,18,5060,0,-612.0,Down
2025-06-09,20.633333333333333,13.366666666666667,17.0,7.266666666666666,9.0,3.0,18.4,15.633333333333333,3,0,0,Monday,0,6,Summer,0,1.0,-1.0,1,15433.625,17572,12285,1813.0194083351676,17923.458333333332,18,5287,0,944.0,Up
